id,SQ_PRODUTO,NSUCCG,GTIN,TPGTIN,MARCA,XPROD,TPPROD,PREFIXGS1,PREFIXEMP,CNPJ,CPF,IMGURL,XORIGEM,XDESTINO,NCM,SITGTIN,DSIT,CSEG,CFAM,CCLAS,CBRICK,SUBGTIN,TPSUBGTIN,QITENSSUBGTIN,PESOB,UNIDPESOB,PESOL,UNIDPESOL,DT_FIM
0,828490,389309021109650,35414672733539,93,VM,6IK8Z2ZWZSX4Y7K1S3PBD323UGTFLBBZSLSIPJKZ6V6WPX8KAL5I1GMLX270VAAGHW33HBQ5CZM14XT7YP5VA643KSS3PKRHPL5NP4TD9Y65MCTQ9KZV16JNN8LYDK12HFI43RCRZZXQFQJ3XHN6I0YINGEH8LK3UT4JWMHLA053PW2KOP5CO8XPIIQKNVK5UMYV6QWNM6Y1CU0HPH0F6KZZ9XPTQJLK6C408ZAQZEUJHPEZPD1BDTU9P148FE4MA06OGY96OSBZISB9YQSG791RBI6AQXXTP6TDO6F8PT8KC99TROTGV7GAASR3YM3N6Y28T3DD8UBJX8WMY1IPMGO9EMW602X07MQG3ZM5JBJJ9HDXTONA62V0V7ZBVT3ZX0ZXFLUZDWKZP5IFUGJM6NYGN4I0NRKWTP20LWHTY3UU0ROMHD5N20XGLVYI6O4TEB6WK3RMGPP514LHTLNEUG4MK54N4V571AMZSBKJQY3EJSNBSXKU,IWDFQDSRMOUBCMK,501,84157170295,FEJMU6Y1J8CQHH,9GMA7Z50FIR,SVL17TOWIB5705CF0HBMMHFF3ULB1YE947PBYN7DR5Q6XDU58PI3SRY9M5QAH5D6Q4ABNWV1XF30MFNCY0BRV72WOHV682OTEJ39T3PLZRJ9C7OC2SWE1QDZS677L65P1XWEB8P5B3L1MUSIKL6OL7BXFXOP6QGFSV6ZZAT9WGQL7Z3SXCOZWZQSNAIG5N1Y24KAZO0BZY6YZQUEOZAV7A2LK5HFHCUAHZBKX41LVBSNEVI3781H95F7BH7R6WVB2SSR815BP7EF6OGODZTWQ050ADOPX11ENJR7PG6556KC,HH,Y0,99521292,7,2015-07-16,39831478,31839136,79257693,37626054,18966884441574,56,85386949,22115.861,6RJMRHA6LBV0GHSCM4UM,76315.859,SKFFXB9IBS20X9786TEH,2006-08-09
1,56656,290611589464338,64573873680164,16,U6,1NYONBEJAMVZHZZW5Q65V4NUZALHS7QO8XGI6XA29909X8RAWPS3W9REKTAR6RMPOO3I7JY6PIW5W76N4HGFE1S4KMTIZ47D9S0DWARF1GOASKDCHFCWRXHT3QXGLSAF0JJLS6IZITZBM83LUU77VI7176DIXFXUM8O20NEEVXZF1DQQZBI3WEMIXSGJSR979B8NEN8BNOZIF31XKPAII74XBYDMIT3KF8PU5CT2Q4XQMA4LO6H13DMEFQCXSC412CH3EF9BA1YO3HXEXHRGH2EF8VE9WGEYZ6LD7R6RVT8MDYZLVLS540PRW9I3B39QZ65CYCEY0EBW0BWOMEMZYABRZF9TFEBDXB1CP6ZY5B8RHI83CPEGBURPTFWCD34PLHTPUF16QYWFSGJK0DQOOF916L2D5XXH42IYKT75DHAGYNWGQ7ROSLWNRXYRN5FX32HNEQG5JWMBZOPPKMDHQ8PKCOC2UWWG62TUNNW9AREYUG6OQPW5,TDHWNFOKUCRG093,172,10772383867,TJ2GNAX7Z73HHU,2X7EZA0WT8X,32NBU70NRI84PB3UGX359BN4UVQAI9PDYX633J05PD3ANU0INSK6LF4NWMPA0NXK7TX8H0QWGLMHXC1HKGWJRIB4XUJVZPK59SUHGDTWHT2P2VYM57QD8JB0BPH5DMS88KTOPR0XDRQVCMY0QPEXH2COPSL84GOM4BKSRWCMPM0UEKP57PJ2SEF33MI65Y9IJ6M2KB071MFQZ927W05DJKBEIB3FSS42NZJO1AKAMEVAAL4SGP84OOGLHQI8L0EFTW0POY7ZWJPRFJO39R0GUY4ANR7MVK2Q3HEJ9D3I2FDY,28,XA,34222472,3,2009-04-12,2331830,52918661,94175075,24797007,58184116044456,94,86835910,61710.517,UAWRQAFZE9GWKL27ZAZ7,61364.902,GW8XJB0FMSUJ5I24YM5X,2016-01-16
2,5249,480687378406057,95489738693970,92,DJ,OIMRZ7KJSI4SANDCGB8AKBLQM6WXMD9RW3Q6690D8PTIEK680YMQ29B568NQI8SKCJ30LNJRTRX09Z3YUQXVC8E01WVHCPWW97V81DY9FTKQDM4PWZ1MBEHR55FYINZLS7Q9V9WKE1PEI9SD3MP9UI3XH6XN8GXTNDRXEGLMKAIYI0IVSGIT3HJLGJFLANPBMAHVROY869ITQ468P0VO2LPGEKHMHN4US3UVP4ALVKDYBP3XVWMQ55ILBIXZMML9L2PXROWIHTB7LBBCRJXPK9GYU5CDWTWPCPRBTL6R2QTIDAN6F4C32PMKA4PYKNLO8XHSLUOFERQPH6MC7DFP368RLGT83VA8J3XQM1WW4Z5JHI8UCXO1HXSAHFPZTYYGGUQEFU7GDYT9PT03IXIG528C3Y7CSS20GY2388DJ1CY0KQZP755210H2G8IVDMJZNX8Z0HZ4WWFXWP7LEIDEY5XJ0OTU759VLMXNLTYJTW52XGZSQ6NO,PI6W8P2NQAPED6K,348,15716352174,XUGK8MMHFSUY3S,6A2450NRVF3,2WLMT9FW99KYZADL2O1ODG5PAL2GF0FDQBS83EHDDL4383B7K188JO5G1LGXQ37Y4GYIZ7XDAHE4804CDBBVO9PHHV4P70DXI29UBYVNE11LEFLE9EF95ZP5ASPH0E03VGM1O4YS4TNO5JF68M6TD5XJTGIZMC6RYORGJZ1LGEWHMX7K5OQGVK64ZZLZMUC4YEOUD7CVVNLYRKCAOOWU25PON0T2LB5FFIKZRTJ9QH6T2QRN0LERJBAGQSGVLMGJ0G0YTQM22805HFOE7KTNVQAP4D8K6J0BR9N4F2ZUD0KC,EU,5N,71925302,3,2004-10-28,84204737,39992801,56375448,96399814,64295122961560,57,73473189,59992.292,ZJYAEDV7GHO85A669G0K,49310.121,5MDYVFCQPA2DAU2SOYTC,1998-11-27
3,0,151391175143025,2215084496296,21,TP,SJHYXOB3CPEU4PB0O3HIB950VCS34MDM3MMCTH4T1BQ9SNMFZ7KIDNUA9AC24E7GIQNX0BHJP02FZV1UNTZZFBVD79E84JHF7XGTWEUDUNK62M7STGUY85K84S0CZP4GZYQC438BM4B6GZJUXGUDK75N7IB4U5VS0RER2X8OYZRFIIYE6Z0E448T0L5CU1GKTL79LVBMMNNUCR0QF1DGB5IOR9D5QH2DS0AWY9JZSZ52423BLWL0IDC1Z0IHBNDX8C5N4WGQBIX275MIMOKFH3K7P0MEQHRSEYIGH2EBXYZECQ22PWNUVVVDXBF81PHKT16LDE82AVVLWZWGN3MC3M024QZMUCUS1II6XY2MQWCPQR1G9XBLNI7IUWUPNMCBE0W251CLM4O8QLYGJU2ZZV07MGN7OFXC93L965MMHEBX32D11BOWDPQAIQKYSCJXB1LYYZ2T6911V0R4PVKGATM57FRIDADPSDCM9WM6VOBUUHZS0H3I,TA2P6R8SE6UI50K,757,58011133440,28QA78LO7G5GFD,O0L1H1XPTFM,ZYB7VIPXVPEW1H3HJ78TI5IXUPGSWAFHDI5NNAG2N6VJN4PSPXPOYICTX1EAG5W8CM48QQ7ZHJGOBD7EYELZT82195IELVC2HVREYEJ4K7P447PV9XL9P4R5FADQV3AVU2N7B0ZDJEGVK5FOFNO4O9XUVCY3H3TSRW8Y3M4TB88OAD8JSGRE2FBEJYK6W1TGJP75D4KN5W2Q7JZ1WAG0M874W9K31FXDUQGKJYZAXK8EBX5A6E36KENC9JAFY6OF5J449Q5ML9PZDRSSEI8U9WPXO3Z02XUBALTOTVBHWRBE,LK,MF,25588672,0,2014-11-07,36607056,21633485,43313312,96080636,16132980612722,95,36512632,9689.158,7ONWT9DBC5M96JQ3VR62,62032.246,52L8WC2TOESQ9KUWAHMV,1991-08-10
4,8400803556,905945767873210,94209747488457,4,E5,GK91LXXM8F8LXFLM8UYYRIE1RSGVI8OAVKMN2G2I8QMOLF71L2J32GY06WNNRLMFKMTO3O7RXWUZNKB1Q3LD8V8TPXI6Y5UTS0AK314EUW1P7TVV90KG8A8ANGX1340A79D0M59ZF8LJD63E8KKRPXS6MG6RXER0HP3JWTJIHK6SSFUO785LZF5SE6NSJAZ35VZOLEE2CDW23OWBM4LH5QSU2GQWSY7ZJDNEGXFOMPQO6ZB43T9B24SBH8KE79FUG1WB50TTIH7ZKYYX8HE0ILO3A2GTGAXLYX8LUVDX90D5H4V0CKMQ7T40E9QX9UIT213DDTUKE6TC7PIFF0IRGEBQN84SFY1WOD31FC1QKTKBHDJ9CB01D8NPY9W4D3MMZKIS9FQLTPNFYFO8O2IRRGEBY5WVGTQQ283Z0WOF7WS06ZZ7WPRV1K1BUYMS90B3TQ1A22O7I7B4K1T4R4LC4L687H9GDQ1XA5YNRJ2Y6E1VTAHS1X8M,REJYK87UXYMN0SG,42,93884674800,SOZS1P0BJHD96K,35UZMF1Y6RI,CEFPTAG7KKQEN3D3S7C8PNUH0L6C2XHH4WEJXZG30CYUB2WDJRZYL6YX6CXCXA1SYC0EBYZCXYZOL4BSPWS2QU95EN2JAXF3X5T6ZGBOIO54K62BN07XXOBBIMAE00GSGRDCBVHDKLJLIU467D69VIRQ9NYV2SAEF19LJT1EA2JFR01G4UQSILRMIL8IIGVN2QVQVIXOJ7UXIQJR9KQS66OPGKOWWNSEREBRT6AXDV9WBG0ME5G33QN57DG3SFBIFD381WWT8F6IXH9PCM6FKSOO7CR4ZUFEJEZE157MZYVL,RP,JE,54782351,3,2001-12-19,79587499,40898467,15234595,8365999,9206170030900,45,58164018,5295.302,6OFPEXCHRSPCHDR250GK,23352.616,WRTPLNM3JPJWM1P5TYEB,2009-10-04
5,29,364657540912417,19389237609208,54,MT,80LMJXTUW0LEMAIXPHAJ254NF5J38QARIFLC6ZI1WZUGOWKBPNTF8XUL9KWCHDDWYBI95RQMDJKG4LNIHUVXWG6NWC7JXC4227PA5X3SF7WK297A12EQX6U1NH1EBK3WNH83K1351NVYZRCE4970J2HH1F5WRYIJ221MIT6WHSW2TPDRGVCN0LD0T8XDKTLG17UX3GFVGPIH6CJQY93I7216X0GTMA9DF0M34KUK3GI25FFASBHZ3M24RWUZBRT4S0TEZIV1E33SKAOZQEEPCT0517HEI6AOPOA5DVS57MHY0JSWXHG3VL7XXX2JXZJXJGXDMEV3ZZFC7U1IIUY6LYV5W7JEXZ3HAS7S9ZQPLEO1F8RFWYD5RMOL47JIYF241ZG81D2ZX7RW1IUMQ2T9PEJUDT9O9OCW0C43QRASH5KEC3R7TSESLIPX0XYYEUBHZTMJ2VGQMMEDJMGENMSJ0GI7J0VUAMGFPSDI8VKP7Y129OJYNYIG,70WZKNO2F3KOGER,720,61251536037,4C6SG1HHXAG11M,RI3E2YX4FUN,CO9SPVRWJIK2KCZLK9EHK4MBG7CWPPUS0W6CHOVFNXOQ65IZ2UZX0YND4M7S42II2N7CAT0MJKA0T8R2F7T5Z9DJTRNF96NDPBJW1CQNPBXMU1U2WZ7L00QHT9LEJFMNDMJ38WCUAMQETSVTNYOSVL9VEOGV4SBUB7L9R06GQXEBK3AQE64C319OE6EV05Q03NWKAZ99ZWQF0YLDF1MGICQRQ038NEJ9EMLKIAOTXBHVS87TY2M8LR78D7FOSV8JDJCXCY0UK9LCG8M0SLZ7PES279WFMR6M4MC7Y2PMGHEO,NM,JP,1460549,6,2017-08-13,46122259,46563447,15889542,61573742,46336757846492,78,16132064,88303.298,I65G0UDLAUBP25TAWTXT,47455.511,K4XER6KTU5H3UMCCZUV5,1992-12-28
6,581033208,26896470115906,9547063084014,47,HL,6BVB4GSFRFLK2WA521ME07BCEOUY3D13C6R6S7RS8VF9XJRPYOC2E5TI4BE9UDODL4AHPZ7Q2199HNLCPB3KLP85SM9PFPRUX4DQBMTEF6EAVXJ9BGNZ8HVWO2EK927PU8QZ25E0EZFEYA1Q817X6KQYSQA68Z9MSXJ3Y17SKOU1M9UY4O17TFJ3A34GG6ZEQW5RR55Y1Q0R0FR83E2V6L6Y4S9K0WD4306JD1CBY99DF13T394JITAAITAT1V9C2KPIS9YCG3Q8DNY3GT9EU19AFW7U828T9XJMGZA9T5TRU9WZYMI537S5C5WGXQSTOP72HTB2SG4KFASYD4MB3H1IRDHJJ6AWCWD6HTYQQY02VZJUCAX9AGAVJBVKCKDDJL502LVS0KEZKD1YU9FT3CP9MAOYV8YNM9JAFSJ003U9G5P6XGGLNHNRO3ROGZL09HEQF3CY4OMUPQFJL2R2F4H48Q2C319ZPSQL257QI9X465U19C8Z,JYNO053YEG5G01Z,803,46435275503,XFOB10H2B8RKKA,DHJQO44Z3VQ,YEHH1IIDE1OMJNQNT6PK5E7D1V586ZKU1RCCQ6R9VR830NZ3MW4MYGNGQ7L5RFP9KXG6HV8FE499KIBQLLGN07HY3WKIY2Y6BC2G9AO2OOQ7JZEZGKSRKULEC2P2CSUOR2NZ64AQ5NTVBXN3DE94QKSOV5JY3JDPO2Z1C1M4L6T81L54Z0M33TE2VJM0EM01P2GY4QBSWS5JY5T6XVQWN9IRO33TQEXB32JKNI79QBJUZ91M6DUMQSWTD7NFECKAHOT9HRGG22GGX341ODU9X7NXY2DCRODFAK7FZEKWM5WZ,C4,KD,34565002,5,2019-04-23,84763150,95409975,61108014,15824369,31626194785120,66,66296333,94845.26,AV44GNHQDUG9TJZT1GBW,54918.131,Q8EHI8OAEQC86CGHU43N,1995-06-04
7,1997836,864721331656472,14429352094481,83,NJ,12A00Q0Y1BOPUL4O4RS6Q7JP3D7WO1DEKW3T46WC8FG08H0BIMM06H7L8325XL5C6WBE3QW79QIKYZ13BHH54TV4TOWD73JKTBAAA8OKFDX1HMOFNNPMXZM0YZXCOZDLJYWPC1B0XIM1LQRMIYW9UDZVID7M2LT2A9X0QDN6G2SMVOXOOAH1XJKNNNTOLVLYOMCEBWSBB1FAPBF45IIBQMQ8399YER7ES2OGR0TEDJ4NE188CDQEKF8BQW80NPQYA8XSXYPSZC558XC6SC5QVF66AYY44JKZ5YZA39GUMQ3QCF2Y2DM7N7S4IWE8C5G0GCFFFT66Z4VLF4VT2D2YUXORRXUF6DOZEROHN2J913DM1HO6H14MMS3GYONX5EVIK149UK1LD9NZY2TFTFD2PCD9GZI32UIBDC9DK4NMSHL7BRQQ2YRT71QPS8VHX9UHN5OQJ8SSISI7Y4QB3BLH9TPEC8ETGBJHMAT14OD4DHMY8A7BZ7C2,A2PRAJZ3XOBVYT6,309,33777738552,80KXVS7UUQOB2E,4OPXGE99UQ8,QV2GNPC3JZLLDG73WKY1SBX8T1ECVVMUWY1ZJZRL2TAP6BV038S7WEHZK4QAU6CHDMMSI39LBC0QGYVO5ZGCUYIB4CQPLIAZ66BE7G8951GI8PPMIVL3IT00VYAJCNDNE80MT2O74DBOB7CQ637MRHONZ4SFQLWO5YM7LOXYSP6RSFQ675FKEID7H8O7A6BVT1Z9VBGE3C1M4Z3ASA2UCEKO0EGBUKAQZ5CK2SUUSEADRJCGZLN0I9PBY7UFC7UI8VN77JBE1LU0GWCFIX27MZ4RKYYK6QGKISQO1XI50BIH,LV,V6,78286417,0,2013-08-17,72243303,82989072,54471798,79206777,33818463132549,71,17953100,42527.122,UT6FEWP8FM0KX2OLNYWN,88900.424,IQECOGMQU78EPDTGS9XX,1999-12-16
8,1847,614507391653182,44236153555741,71,OJ,1Q5K84EPQDSCHWTFOIDHN7JT0JPRP5MOU7GD3APGY3SZEKH05XL9TQXUSC3IBTXXJXLCCBUF8322J6MAMEP0HV64LU3YJE5SEF4FOD7GM940F3HQM5IASCPYG6GPD0B5B0ACFXHF6ZFQ8ZAD5KM9WJ9W9SXVV637PO8A3YDD2HVRPGWXN51DTHTN5V7IL7MIMAAESYONAQHQUPHVIYG0JCBOO1XV1F5YCRS5BVEX9NIHQKV2N6JAXU51YLV1JOMG92SIK2ALQK0JSX96QGJ26VVKKUPYMYNDDNIQVZM9ETF09LH2QZTGEQW3TXCVYLWXEN42W3J5EHP5XP1U7VDMDVEH43IJ24YBM7VTPTEU5VXCXDJS0H59KTO6VCTJRPDAVJ1WG7BFI0NGLZB6R2GVL0MBLFRBO2VB6R6EHGO226WJ57IOMQ8P3F746DUO7D2TTF1GPDG4C8NADG46MY8QBGP2PWJHHYJLVB9VSBCEOXCTIXGRWDT3,FVFMMLQQJKZAUSI,937,39223797141,VOW37DA2IUCUG9,T405BIXYNYN,HRUDDHLDH6XRFL1AJYS4YLLS4T0SEGZV6VQPNER050R8ZIO35JFDUHZ4DLHCAY1G1TT2TY3UBMAW14NW16XL7VZHMP0FGLKUTCD0H20ZWOKHWKEBOUJUJ9WEHSQP20ROG4WOA778QHV4MDACFJ9E8LT9V06OCX6NIXZ9LPO7G2RB5IYON1WOQKCR2LZFN1ZJL3GJ0YDBU0P7STOTM793E1G4FMR31XW31RZPPN37O4JBXZLHWTTNB2PTQE7E46MU7782Q0YVD31Y6GMX1Q0PYA20I4YB08ZP8E4LBJ11JVVZ,AI,WT,31436101,6,1990-08-08,99973010,76515280,21350477,15309777,52177619328863,77,91185419,64163.482,1DRDW9RF4K3923SBGARW,38819.742,EBKR270V1071ER44811A,2002-04-25
9,194337645,372489929306395,47909191095083,87,R9,RQQW94GQZ9VO82216CM7IXME5DQI8LLKWLP2JQEHCZ4UB62Z8LYXWYUZNGUQYG4RI40VQ4PO4WXJTWHB86I3C6LXREELU58EXW4EDJPZZQ36LO89456TFHATB5TY2NBUG47O0BAXWJCCBANA3NQGJ07YAY4CBVFIG3DXKP28DSAGG7LX45GK19R9PNKNYZ2M7AUUGQEFOT5WWA6L10N4UQ6545Z6A4CJ1YSPAH0T4CMSH6W3FNNKXF5IOI3E0MVGUXI81VPV68G68W6RI1WU27MXNHSW58GRWWZBBKWVJWISXU8KS7Y77SHOP7BNDE6XIQO7HYEV18M5Y3OD9SVCDDAFHHJ4ZJIIH4YNSS2HBZ0K8MXPXPYKNX5QLHOEWWTFVHUF8RFQHN6FVGUFE9VFKDWN0U85N83PV8M5KEWFIV73OQWVHI2QU67X7HGHEQ543CZHIVAG6AH8X5A5GENUBR7I3PF17TDXT94WW3ETZ9ZWYVUTDZ8Q,C7LIAJ4LYP1NWQ3,984,35082224252,OAAKDWNQM7PL1B,44RDCBCLVMK,C9DIEPWQ4SD6G6B7AS7MSVSVNQRUGYSPUGBQK92J9QESE9SO9OBB90005PFIA7SL1ENB0BKECCC3AQH8EGFZ32QLEA9HUBKVDZ4VWW5IBC0IAI74C61LRJAS7TAFPCGABKECHKHBLJVCKONKM8QSC0NSOB1AYVRRE0UI1Z2LUT1QTYL3CU6UUFNOD8QBZXKATY0L6LQSLI815M23XS8UN4VHTZOWYEKFF5WXQJXU0TJJG6EI7N8RRUPZXUAN4243MGC87KN9OZQ7U67V09A1CI3LE0FGRLJLHU6JBVBOUY9A,QT,77,99718994,9,2020-07-13,36066161,12365594,20885182,10040599,71181994937530,21,81228358,61003.834,KDVW0XO95UJQUQ5AEPWZ,12952.305,BCA837GSSW96TKPDQW4Q,2011-07-04
